,Year,State,State_Minimum_Wage
549,2001,MN,4.9
550,2001,MO,5.15
551,2001,MS,5.15
552,2001,MT,4.0
553,2001,NC,5.15
554,2001,ND,5.15
555,2001,NE,5.15
556,2001,NH,5.15
557,2001,NJ,5.15
558,2001,NM,4.25
559,2001,NV,5.15
560,2001,NY,5.15
561,2001,OH,2.8
562,2001,OK,2.0
563,2001,OR,6.5
564,2001,PA,5.15
565,2001,RI,6.15
566,2001,SC,5.15
567,2001,SD,5.15
568,2001,TN,5.15
569,2001,TX,3.35
570,2001,UT,5.15
571,2001,VA,5.15
572,2001,WA,6.72
573,2001,WI,5.15
574,2001,WV,5.15
575,2001,WY,1.6
576,2002,AL,5.15
577,2002,AR,5.15
578,2002,AZ,5.15
579,2002,CA,6.75
580,2002,CO,5.15
581,2002,CT,6.7
582,2002,DE,6.15
583,2002,FL,5.15
584,2002,GA,5.15
585,2002,HI,5.75
586,2002,IA,5.15
587,2002,ID,5.15
588,2002,IL,5.15
589,2002,IN,5.15
590,2002,KS,2.65
591,2002,KY,5.15
592,2002,LA,5.15
593,2002,MA,6.75
594,2002,MD,5.15
595,2002,ME,5.75
596,2002,MI,5.15
597,2002,MN,4.9
598,2002,MO,5.15
599,2002,MS,5.15
600,2002,MT,4.0
601,2002,NC,5.15
602,2002,ND,5.15
603,2002,NE,5.15
604,2002,NH,5.15
605,2002,NJ,5.15
606,2002,NM,4.25
607,2002,NV,5.15
608,2002,NY,5.15
609,2002,OH,2.8
610,2002,OK,2.0
611,2002,OR,6.5
612,2002,PA,5.15
613,2002,RI,6.15
614,2002,SC,5.15
615,2002,SD,5.15
616,2002,TN,5.15
617,2002,TX,5.15
618,2002,UT,5.15
619,2002,VA,5.15
620,2002,WA,6.9
621,2002,WI,5.15
622,2002,WV,5.15
623,2002,WY,5.15
624,2003,AL,5.15
625,2003,AR,5.15
626,2003,AZ,5.15
627,2003,CA,6.75
628,2003,CO,5.15
629,2003,CT,6.9
630,2003,DE,6.15
631,2003,FL,5.15
632,2003,GA,5.15
633,2003,HI,6.25
634,2003,IA,5.15
635,2003,ID,5.15
636,2003,IL,5.15
637,2003,IN,5.15
638,2003,KS,2.65
639,2003,KY,5.15
640,2003,LA,5.15
641,2003,MA,6.75
642,2003,MD,5.15
643,2003,ME,6.25
644,2003,MI,5.15
645,2003,MN,4.9
646,2003,MO,5.15
647,2003,MS,5.15
648,2003,MT,4.0
649,2003,NC,5.15
650,2003,ND,5.15
651,2003,NE,5.15
652,2003,NH,5.15
653,2003,NJ,5.15
654,2003,NM,4.25
655,2003,NV,5.15
656,2003,NY,5.15
657,2003,OH,2.8
658,2003,OK,2.0
659,2003,OR,6.9
660,2003,PA,5.15
661,2003,RI,6.15
662,2003,SC,5.15
663,2003,SD,5.15
664,2003,TN,5.15
665,2003,TX,5.15
666,2003,UT,5.15
667,2003,VA,5.15
668,2003,WA,7.01
669,2003,WI,5.15
670,2003,WV,5.15
671,2003,WY,5.15
672,2004,AL,5.15
673,2004,AR,5.15
674,2004,AZ,5.15
675,2004,CA,6.75
676,2004,CO,5.15
677,2004,CT,7.1
678,2004,DE,6.15
679,2004,FL,5.15
680,2004,GA,5.15
681,2004,HI,6.25
682,2004,IA,5.15
683,2004,ID,5.15
684,2004,IL,5.5
685,2004,IN,5.15
686,2004,KS,2.65
687,2004,KY,5.15
688,2004,LA,5.15
689,2004,MA,6.75
690,2004,MD,5.15
691,2004,ME,6.25
692,2004,MI,5.15
693,2004,MN,4.9
694,2004,MO,5.15
695,2004,MS,5.15
696,2004,MT,4.0
697,2004,NC,5.15
698,2004,ND,5.15
699,2004,NE,5.15
700,2004,NH,5.15
701,2004,NJ,5.15
702,2004,NM,5.15
703,2004,NV,5.15
704,2004,NY,5.15
705,2004,OH,2.8
706,2004,OK,2.0
707,2004,OR,7.05
708,2004,PA,5.15
709,2004,RI,6.75
710,2004,SC,5.15
711,2004,SD,5.15
712,2004,TN,5.15
713,2004,TX,5.15
714,2004,UT,5.15
715,2004,VA,5.15
716,2004,WA,7.16
717,2004,WI,5.15
718,2004,WV,5.15
719,2004,WY,5.15
720,2005,AL,5.15
721,2005,AR,5.15
722,2005,AZ,5.15
723,2005,CA,6.75
724,2005,CO,5.15
725,2005,CT,7.1
726,2005,DE,6.15
727,2005,FL,5.15
728,2005,GA,5.15
729,2005,HI,6.25
730,2005,IA,5.15
731,2005,ID,5.15
732,2005,IL,6.5
733,2005,IN,5.15
734,2005,KS,2.65
735,2005,KY,5.15
736,2005,LA,5.15
737,2005,MA,6.75
738,2005,MD,5.15
739,2005,ME,6.35
740,2005,MI,5.15
741,2005,MN,4.9
742,2005,MO,5.15
743,2005,MS,5.15
744,2005,MT,4.0
745,2005,NC,5.15
746,2005,ND,5.15
747,2005,NE,5.15
748,2005,NH,5.15
749,2005,NJ,5.15
750,2005,NM,5.15
751,2005,NV,5.15
752,2005,NY,6.0
753,2005,OH,2.8
754,2005,OK,2.0
755,2005,OR,7.25
756,2005,PA,5.15
757,2005,RI,6.75
758,2005,SC,5.15
759,2005,SD,5.15
760,2005,TN,5.15
761,2005,TX,5.15
762,2005,UT,5.15
763,2005,VA,5.15
764,2005,WA,7.35
765,2005,WI,5.15
766,2005,WV,5.15
767,2005,WY,5.15
768,2006,AL,5.15
769,2006,AR,5.15
770,2006,AZ,5.15
771,2006,CA,6.75
772,2006,CO,5.15
773,2006,CT,7.4
774,2006,DE,6.15
775,2006,FL,6.4
776,2006,GA,5.15
777,2006,HI,6.75
778,2006,IA,5.15
779,2006,ID,5.15
780,2006,IL,6.5
781,2006,IN,5.15
782,2006,KS,2.65
783,2006,KY,5.15
784,2006,LA,5.15
785,2006,MA,6.75
