,Year,State,House Cost
538,2019,IA,156192.08333999998
539,2019,ID,236021.0
540,2019,IL,126562.50000588236
541,2019,IN,143104.2627563158
542,2019,KS,154693.75
543,2019,KY,151095.1287909091
544,2019,LA,177990.822925
545,2019,MA,308479.38334
546,2019,MD,233899.9179166667
547,2019,ME,194899.37502500002
548,2019,MI,154681.41304347827
549,2019,MN,195997.23483636364
550,2019,MO,155130.41766
551,2019,MS,168540.75
552,2019,MT,279028.75
553,2019,NC,190788.2106990625
554,2019,ND,236506.25
555,2019,NE,187583.33335
556,2019,NH,233558.6875
557,2019,NJ,244305.2083
558,2019,NM,180826.04165
559,2019,NV,321269.18055
560,2019,NY,172347.307291875
561,2019,OH,131154.36110851853
562,2019,OK,139128.05975555556
563,2019,OR,285352.49999333336
564,2019,PA,158592.66287863636
565,2019,RI,282770.8333
566,2019,SC,189772.73611666667
567,2019,SD,221538.875
568,2019,TN,166128.1184105263
569,2019,TX,197396.26999600002
570,2019,UT,361390.56943333335
571,2019,VA,244145.00924444446
572,2019,WA,319625.3518333333
573,2019,WI,177276.60648333334
574,2019,WV,126745.8333
575,2019,WY,234204.16666666666
576,2020,AL,175003.36805833332
577,2020,AR,158062.49073333334
578,2020,AZ,276136.8611222222
579,2020,CA,487046.52776333335
580,2020,CO,430843.35119285714
581,2020,CT,286215.83334
582,2020,DE,260811.4583
583,2020,FL,252444.302212
584,2020,GA,190048.90872857143
585,2020,HI,606526.041675
586,2020,IA,163306.66668
587,2020,ID,271363.6458
588,2020,IL,126864.33333650001
589,2020,IN,155121.14913157895
590,2020,KS,167091.6667
591,2020,KY,169403.34847272726
592,2020,LA,191331.697925
593,2020,MA,344309.45
594,2020,MD,261026.15278333332
595,2020,ME,220809.89585
596,2020,MI,170334.78985652173
597,2020,MN,212773.19697272728
598,2020,MO,166383.359375
599,2020,MS,188600.625
600,2020,MT,312011.9375
601,2020,NC,213742.906246875
602,2020,ND,247931.25
603,2020,NE,201487.5
604,2020,NH,264642.208325
605,2020,NJ,275092.47915
606,2020,NM,192686.208325
607,2020,NV,349655.9166666667
608,2020,NY,191384.19117058822
609,2020,OH,140227.90125666666
610,2020,OK,157008.17500000002
611,2020,OR,315584.27777333336
612,2020,PA,172108.8484818182
613,2020,RI,310745.8333
614,2020,SC,211301.19444166668
615,2020,SD,238175.9167
616,2020,TN,187447.99697
617,2020,TX,210271.5401222222
618,2020,UT,378754.2023857143
619,2020,VA,267314.26852222224
620,2020,WA,357457.69444444444
621,2020,WI,187044.23340952382
622,2020,WV,136391.6667
623,2020,WY,245854.72223333333
624,2021,AL,198394.34028333332
625,2021,AR,180964.49074444443
626,2021,AZ,339793.30555555556
627,2021,CA,564357.6388900001
628,2021,CO,504210.29762142856
629,2021,CT,316226.66667999997
630,2021,DE,297876.875
631,2021,FL,293425.400004
632,2021,GA,217760.55951904765
633,2021,HI,693023.958325
634,2021,IA,177701.48335999998
635,2021,ID,343496.666675
636,2021,IL,133471.5583405
637,2021,IN,173006.9780631579
638,2021,KS,185633.3333
639,2021,KY,190955.46211818184
640,2021,LA,208437.1354125
641,2021,MA,392612.60002
642,2021,MD,280295.44443333335
643,2021,ME,262607.916675
644,2021,MI,188346.01449130435
645,2021,MN,227903.48609999998
646,2021,MO,182825.55391764708
647,2021,MS,203308.3333
648,2021,MT,394672.1875
649,2021,NC,246679.8541625
650,2021,ND,258464.16670000003
651,2021,NE,227547.2083
652,2021,NH,308972.8125
653,2021,NJ,310222.91665
654,2021,NM,212078.43648333335
655,2021,NV,418707.88888333336
656,2021,NY,217126.7546388889
657,2021,OH,152966.8954096774
658,2021,OK,169173.59166
659,2021,OR,376438.42777999997
660,2021,PA,188733.19696499998
661,2021,RI,353358.3333
662,2021,SC,240847.00693333335
663,2021,SD,273792.95835
664,2021,TN,227444.975
665,2021,TX,244291.34259259258
666,2021,UT,465337.14284285717
667,2021,VA,293235.64815555554
668,2021,WA,429420.42593333335
669,2021,WI,203985.06746190475
670,2021,WV,151150.0
671,2021,WY,264427.7778
672,2022,AL,216632.54166666666
673,2022,AR,201002.2222111111
674,2022,AZ,384259.2870444444
675,2022,CA,608345.6777833333
676,2022,CO,569348.6369142857
677,2022,CT,341104.16666
678,2022,DE,325295.98485
679,2022,FL,349895.703332
680,2022,GA,245394.06746666666
681,2022,HI,777521.270825
682,2022,IA,200776.66666
683,2022,ID,367738.33332
684,2022,IL,140619.97917150002
685,2022,IN,188470.17982631578
686,2022,KS,199208.3333
687,2022,KY,210186.23484545454
688,2022,LA,218723.479175
689,2022,MA,435805.71666000003
690,2022,MD,299193.74998333334
691,2022,ME,294441.583325
692,2022,MI,208120.36626956522
693,2022,MN,240759.56944999998
694,2022,MO,200388.86765294118
695,2022,MS,222845.8333
696,2022,MT,456293.75
697,2022,NC,281076.854153125
698,2022,ND,278795.04165
699,2022,NE,250938.33335000003
700,2022,NH,346491.6875
701,2022,NJ,334608.47915
702,2022,NM,230323.06944999998
703,2022,NV,464338.9583166667
704,2022,NY,241338.14352222224
705,2022,OH,164762.67448387097
706,2022,OK,178529.13568181815
707,2022,OR,415267.61666666664
708,2022,PA,206974.76892727273
709,2022,RI,388708.3333
710,2022,SC,270576.517675
711,2022,SD,312761.6667
712,2022,TN,259578.791665
713,2022,TX,270197.52777777775
714,2022,UT,529917.8452857144
715,2022,VA,319745.3518333333
716,2022,WA,467987.5
717,2022,WI,223892.57937142855
718,2022,WV,152927.0833
719,2022,WY,281688.8889
