,Year,State,Income
395,2016,ID,56560.0
396,2016,IL,61390.0
397,2016,IN,56090.0
398,2016,KS,56810.0
399,2016,KY,45370.0
400,2016,LA,42200.0
401,2016,MA,72270.0
402,2016,MD,73760.0
403,2016,ME,50860.0
404,2016,MI,57090.0
405,2016,MN,70220.0
406,2016,MO,55020.0
407,2016,MS,41100.0
408,2016,MT,57080.0
409,2016,NC,53760.0
410,2016,ND,60180.0
411,2016,NE,59370.0
412,2016,NH,76260.0
413,2016,NJ,68470.0
414,2016,NM,48450.0
415,2016,NV,55430.0
416,2016,NY,61440.0
417,2016,OH,53990.0
418,2016,OK,50940.0
419,2016,OR,59140.0
420,2016,PA,60980.0
421,2016,RI,61530.0
422,2016,SC,54340.0
423,2016,SD,57450.0
424,2016,TN,51340.0
425,2016,TX,58150.0
426,2016,UT,67480.0
427,2016,VA,66450.0
428,2016,WA,70310.0
429,2016,WI,59820.0
430,2016,WV,44350.0
431,2016,WY,57830.0
432,2017,AL,50870.0
433,2017,AR,49750.0
434,2017,AZ,59700.0
435,2017,CA,70040.0
436,2017,CO,74980.0
437,2017,CT,74300.0
438,2017,DE,64960.0
439,2017,FL,53090.0
440,2017,GA,57990.0
441,2017,HI,73600.0
442,2017,IA,63470.0
443,2017,ID,59500.0
444,2017,IL,65970.0
445,2017,IN,58770.0
446,2017,KS,56900.0
447,2017,KY,49670.0
448,2017,LA,43570.0
449,2017,MA,76240.0
450,2017,MD,82090.0
451,2017,ME,53320.0
452,2017,MI,56410.0
453,2017,MN,69980.0
454,2017,MO,56530.0
455,2017,MS,43280.0
456,2017,MT,57410.0
457,2017,NC,49550.0
458,2017,ND,60170.0
459,2017,NE,59580.0
460,2017,NH,75630.0
461,2017,NJ,71240.0
462,2017,NM,45600.0
463,2017,NV,58040.0
464,2017,NY,61540.0
465,2017,OH,60690.0
466,2017,OK,51880.0
467,2017,OR,62500.0
468,2017,PA,61290.0
469,2017,RI,65400.0
470,2017,SC,54540.0
471,2017,SD,56910.0
472,2017,TN,55310.0
473,2017,TX,60090.0
474,2017,UT,69790.0
475,2017,VA,70810.0
476,2017,WA,71540.0
477,2017,WI,63480.0
478,2017,WV,46960.0
479,2017,WY,59540.0
480,2018,AL,49940.0
481,2018,AR,49780.0
482,2018,AZ,62280.0
483,2018,CA,70490.0
484,2018,CO,73030.0
485,2018,CT,72810.0
486,2018,DE,65010.0
487,2018,FL,54640.0
488,2018,GA,55820.0
489,2018,HI,80110.0
490,2018,IA,68720.0
491,2018,ID,58730.0
492,2018,IL,70150.0
493,2018,IN,59890.0
494,2018,KS,63940.0
495,2018,KY,54560.0
496,2018,LA,49970.0
497,2018,MA,86350.0
498,2018,MD,86220.0
499,2018,ME,58660.0
500,2018,MI,60450.0
