,Year,State,State_Minimum_Wage
632,2021,GA,7.25
633,2021,HI,10.1
634,2021,IA,7.25
635,2021,ID,7.25
636,2021,IL,11.0
637,2021,IN,7.25
638,2021,KS,7.25
639,2021,KY,7.25
640,2021,LA,7.25
641,2021,MA,13.5
642,2021,MD,11.75
643,2021,ME,12.15
644,2021,MI,9.65
645,2021,MN,8.21
646,2021,MO,10.3
647,2021,MS,7.25
648,2021,MT,8.75
649,2021,NC,7.25
650,2021,ND,7.25
651,2021,NE,9.0
652,2021,NH,7.25
653,2021,NJ,12.0
654,2021,NM,10.5
655,2021,NV,8.75
656,2021,NY,12.5
657,2021,OH,7.25
658,2021,OK,7.25
659,2021,OR,12.75
660,2021,PA,7.25
661,2021,RI,11.5
662,2021,SC,7.25
663,2021,SD,9.45
664,2021,TN,7.25
665,2021,TX,7.25
666,2021,UT,7.25
667,2021,VA,9.5
668,2021,WA,13.69
669,2021,WI,7.25
670,2021,WV,7.25
671,2021,WY,7.25
672,2022,AL,7.25
673,2022,AR,11.0
674,2022,AZ,12.8
675,2022,CA,15.0
676,2022,CO,12.56
677,2022,CT,14.0
678,2022,DE,10.5
679,2022,FL,11.0
680,2022,GA,7.25
681,2022,HI,10.1
682,2022,IA,7.25
683,2022,ID,7.25
684,2022,IL,12.0
685,2022,IN,7.25
686,2022,KS,7.25
687,2022,KY,7.25
688,2022,LA,7.25
689,2022,MA,14.25
690,2022,MD,12.5
691,2022,ME,12.75
692,2022,MI,9.87
693,2022,MN,8.42
694,2022,MO,11.15
695,2022,MS,7.25
696,2022,MT,9.2
697,2022,NC,7.25
698,2022,ND,7.25
699,2022,NE,9.0
700,2022,NH,7.25
701,2022,NJ,11.9
702,2022,NM,11.5
703,2022,NV,9.5
704,2022,NY,13.2
705,2022,OH,7.25
706,2022,OK,7.25
707,2022,OR,13.5
708,2022,PA,7.25
709,2022,RI,12.25
710,2022,SC,7.25
711,2022,SD,9.95
712,2022,TN,7.25
713,2022,TX,7.25
714,2022,UT,7.25
715,2022,VA,11.0
716,2022,WA,14.49
717,2022,WI,7.25
718,2022,WV,7.25
719,2022,WY,7.25
